kode_pohon,nama_lokal,nama_latin,Group,Icon,status_iucn,diameter,tinggi,unit_PS,jenis_lahan,nama_khas_wilayah,Latitude,Longitude,elevasi,jarak_permukiman,status_adopsi,nama_pengadopsi,masa_berlaku,nama_surveyor,waktu_survei,harga_adopsi,serapan_karbon,penyedia_bibit,metode_karbon,Image1,Image2,Image3,Image4,chart_link
SRK0209GS,Kelat,Eugenia spp,PohonMuda,icon/young_tree.svg,Least Concern,25,12,13,Mineral,-,-0.0388987,101.4050329,41.205153144307,0.03560019038,,,,Hendri,02/10/2021 10:26:00,50000,695.6681389,-,Approach 5,media/SRK_1_145.jpg,media/SRK_2_145.jpg,media/SRK_3_145.jpg,media/SRK_4_145.jpg,adopsipohonriau/145
SRK0210GS,Kelat,Eugenia spp,PohonMuda,icon/young_tree.svg,Least Concern,22,13,13,Mineral,-,-0.0388602,101.4047977,93.141693933525,0.0353806955,,,,Hendri,02/10/2021 10:45:00,50000,586.0843237,-,Approach 5,media/SRK_1_146.jpg,media/SRK_2_146.jpg,media/SRK_3_146.jpg,media/SRK_4_146.jpg,adopsipohonriau/146
SRK0211GS,Kelat,Eugenia spp,PohonDewasa,icon/mature_tree.svg,Least Concern,40,20,13,Mineral,-,-0.0387573,101.4050298,68.74357325678,0.03563059929,,,,Hendri,02/10/2021 10:55:00,200000,2866.610579,-,Approach 5,media/SRK_1_147.jpg,media/SRK_2_147.jpg,media/SRK_3_147.jpg,media/SRK_4_147.jpg,adopsipohonriau/147
SRK0212GS,Marsawa,Anisoptera Marginata,PohonMuda,icon/young_tree.svg,Vulnerable,17,13,13,Mineral,-,-0.038809,101.405125,70.350280807596,0.03571081539,,,,Hendri,02/10/2021 11:03:00,50000,277.605793,-,Approach 5,media/SRK_1_148.jpg,media/SRK_2_148.jpg,media/SRK_3_148.jpg,media/SRK_4_148.jpg,adopsipohonriau/148
SRK0213GS,Arang Arang,Diospyros spp,PohonMuda,icon/young_tree.svg,Vulnerable,14,8,13,Mineral,-,-0.0387651,101.4050306,40.176998003412,0.03562951882,,,,Hendri,02/10/2021 11:10:00,50000,148.8625063,-,Approach 5,media/SRK_1_149.jpg,media/SRK_2_149.jpg,media/SRK_3_149.jpg,media/SRK_4_149.jpg,adopsipohonriau/149
SRK0214GS,Meranti Kunyit,Shorea hemsleyana,PohonMuda,icon/young_tree.svg,Vulnerable,27,16,13,Mineral,-,-0.0385856,101.4050486,71.854218176724,0.03569013299,,,,Hendri,02/10/2021 11:16:00,50000,977.3872277,-,Approach 5,media/SRK_1_150.jpg,media/SRK_2_150.jpg,media/SRK_3_150.jpg,media/SRK_4_150.jpg,adopsipohonriau/150
SRK0215GS,Meranti Batu,shorea sp,PohonDewasa,icon/mature_tree.svg,-,48,18,13,Mineral,-,-0.0384859,101.4049026,67.617061795733,0.03557293473,,,,Hendri,02/10/2021 11:24:00,200000,3045.300679,-,Approach 5,media/SRK_1_151.jpg,media/SRK_2_151.jpg,media/SRK_3_151.jpg,media/SRK_4_151.jpg,adopsipohonriau/151
SRK0216GS,Meranti Batu,shorea sp,PohonDewasa,icon/mature_tree.svg,-,40,18,13,Mineral,-,-0.0384019,101.4051414,71.606071937789,0.0358250735,,,,Hendri,02/10/2021 11:27:00,200000,2133.380824,-,Approach 5,media/SRK_1_152.jpg,media/SRK_2_152.jpg,media/SRK_3_152.jpg,media/SRK_4_152.jpg,adopsipohonriau/152
SRK0217GS,Arang Arang,Diospyros spp,PohonDewasa,icon/mature_tree.svg,Vulnerable,45,20,13,Mineral,-,-0.0387061,101.405165,96.051420426776,0.03577410859,,,,Hendri,02/10/2021 11:31:00,200000,3556.343292,-,Approach 5,media/SRK_1_153.jpg,media/SRK_2_153.jpg,media/SRK_3_153.jpg,media/SRK_4_153.jpg,adopsipohonriau/153
SRK0218GS,Pisang Pisang,Alphonsea spp,PohonMuda,icon/young_tree.svg,Least Concern,33,18,13,Mineral,-,-0.0386494,101.4051784,70.117047421786,0.03580069402,,,,Hendri,01/10/2021 11:37:00,50000,1780.360397,-,Approach 5,media/SRK_1_154.jpg,media/SRK_2_154.jpg,media/SRK_3_154.jpg,media/SRK_4_154.jpg,adopsipohonriau/154
